venue_name,identifier,maximumAttendeeCapacity
Seascape Resort,jambase:329651,
Frank Brown Park,jambase:70152,10000
Aaron Bessant Park,jambase:386854,
Hooligan’s,jambase:65587,700
State Theatre,jambase:4407379,
Limelight,jambase:7882698,1000
Temple Baptist Church,jambase:338605,2500
Ford Center,jambase:68681,10000
RiverPark Center,jambase:325573,1479
The Victory Theatre,jambase:63329,1900
Beaver Dam Amphitheater,jambase:3837904,4000
Owensboro Sportscenter,jambase:6024824,4822
The Aiken Theatre at Old National Events Plaza,jambase:385357,2500
Yellow Creek Park,jambase:70843,
Bluegrass Music Hall of Fame & Museum,jambase:4553801,
League Stadium,jambase:11338205,
Knitting Factory Concert House,jambase:64293,1500
Martin Woldson Theater at The Fox,jambase:71090,1600
The District Bar,jambase:392463,200
The Gorge,jambase:62095,27500
Spokane Arena,jambase:62534,12638
Northern Quest Resort and Casino,jambase:72296,1244
Bing Crosby Theatre,jambase:65680,756
BECU Live at Northern Quest Resort & Casino,jambase:8181808,5000
Fox Theatre,jambase:63208,2350
First Interstate Center For The Arts,jambase:69349,2700
Spokane Pavilion,jambase:9768539,5100
FarmJam Festival Grounds,jambase:5191425,
Riverside Place,jambase:9738896,
The Blues Ranch,jambase:68651,
Eichardt’s,jambase:66702,
Taps,jambase:402546,
219 Lounge,jambase:3569325,
Blue Waters Bluegrass Festival,jambase:336282,
Festival at Sandpoint,jambase:11195745,
Spokane Tribe Casino,jambase:10949677,3400
Warner Theatre,jambase:63022,2250
Erie Insurance Arena,jambase:389176,
Kings Rook Club,jambase:70831,
Sherman Theater,jambase:64284,1250
F.M. Kirby Center,jambase:63445,1800
The Sherman Showcase,jambase:69749,100
Renegade Winery,jambase:3277493,
Community Arts Center,jambase:63107,2078
River Street Jazz Cafe,jambase:62193,
Mohegan Sun Arena,jambase:387207,10000
The Pavilion At Montage Mountain,jambase:62504,
Scranton Cultural Center,jambase:357880,
Montage Mountain,jambase:71316,
Bloomsburg Fair,jambase:64080,5400
Mount Airy Casino,jambase:384960,1
Briggs Farm,jambase:65896,
Lycoming County Fairgrounds,jambase:71512,
Pocono Raceway,jambase:376316,
Christ Wesleyan Church Milton Campus,jambase:9566853,
Kalahari Resorts,jambase:7671893,
Mississippi Coast Coliseum,jambase:63187,11500
Beau Rivage Theatre,jambase:1554518,1500
Studio A at IP Casino Resort and Spa,jambase:65874,1350
Hard Rock Live,jambase:68788,1500
IP Casino Resort Spa,jambase:7995715,
Richburg Hall,jambase:11455850,
West Virginia State Fair,jambase:68592,
Ace Adventure Center,jambase:574742,
The Pageant,jambase:62499,2300
Off Broadway,jambase:62905,350
Duck Room at Blueberry Hill,jambase:63006,340
The Factory,jambase:7509533,3000
Hollywood Casino Amphitheatre,jambase:62401,20000
City Winery St. Louis,jambase:9962674,225
Red Flag,jambase:6255177,1000
Stifel Theatre,jambase:5218867,3100
Saint Louis Music Park,jambase:6362733,4500
Chaifetz Arena,jambase:66395,10600
Enterprise Center,jambase:5030522,19260
Sheldon Concert Hall,jambase:66409,712
Ballpark Village,jambase:73008,5000
Delmar Hall,jambase:2543595,750
River City Casino,jambase:69093,450
The Hawthorn,jambase:9143026,1300
Central Stage,jambase:8940677,140
Pop’s,jambase:66747,1500
Astral Valley,jambase:72570,
Family Arena,jambase:63413,10467
Busch Stadium,jambase:373456,44494
Ryse Nightclub,jambase:2637938,1300
Lost Hill Lake Events,jambase:5433574,
The Golden Record,jambase:9101662,600
Fabulous Fox Theatre,jambase:63344,4500
Old Rock House,jambase:71196,500
Chesterfield Amphitheater,jambase:70903,4000
The Dome at America’s Center,jambase:3843299,67000
Forest Park,jambase:68623,
Washington Town & Country Fair,jambase:68154,
The Sinkhole,jambase:3121843,
El Volcan Night Club,jambase:3342156,
Grand Center Arts District,jambase:7640475,
Bally Sports Live!,jambase:7930445,
J. Scheidegger Center For The Arts at Lindenwood University,jambase:11235026,
DreamMakers Theater at Kewadin Casino,jambase:7768014,1500
Hoxeyville Farm,jambase:69433,
Interlochen Center For The Arts,jambase:66370,
Little River Casino,jambase:68589,1600
Blissfest,jambase:67850,
Skyline Event Center,jambase:9992871,
Stix Ludington,jambase:9872771,
Great Lakes Center For the Arts,jambase:8523333,525
Workshop Brewing Company,jambase:71614,
Freshwater Art Gallery,jambase:3229315,
The Venue Event Center,jambase:11302845,
Saturn,jambase:72788,500
Iron City,jambase:70920,1300
Avondale Brewing Company,jambase:74089,2000
Legacy Arena At The BJCC,jambase:72348,19000
Druid City Music Hall,jambase:573541,735
The Nick,jambase:62139,250
Zydeco,jambase:62087,600
WORKPLAY,jambase:62807,450
BJCC Concert Hall,jambase:64235,2800
Oak Mountain Amphitheatre,jambase:62667,10500
Alabama Theatre,jambase:62550,2500
Lyric Fine Arts Theatre,jambase:2058749,750
Mercedes-Benz Amphitheater,jambase:72401,7470
Jemison Concert Hall,jambase:396505,1300
Sloss Furnaces,jambase:192618,
Boutwell Auditorium,jambase:345001,
Oxford Performing Art Center,jambase:70582,1133
Forum Theater At The BJCC,jambase:674675,
LCY Media,jambase:9709710,
The Church at Wills Creek,jambase:5947149,
York Farms,jambase:7003431,
Government Plaza,jambase:4303953,
Samford University Wright Center,jambase:574272,
First Baptist Church of Gardendale,jambase:375019,
Pastime Theatre,jambase:327291,
Mechanics Bank Arena,jambase:64967,8751
Fox Theater,jambase:62973,1500
Nile Theater,jambase:398151,
Buck Owens’ Crystal Palace,jambase:11160530,550
Mechanics Bank Theater,jambase:10239002,3000
Dignity Health Amphitheatre,jambase:7640444,4000
1933 Event Center,jambase:3042091,
Victory Outreach Bakersfield East,jambase:8926326,
Lightning In A Bottle,jambase:7917434,
Kaiser Permanente Sports Village,jambase:7536741,
The Patriot Bar & Grill,jambase:11187035,
Pabst Theater,jambase:62106,1279
The Rave/Eagles Ballroom,jambase:73240,3500
Shank Hall,jambase:62222,300
Turner Hall Ballroom,jambase:66046,987
X-Ray Arcade,jambase:5619908,200
Bradley Symphony Center,jambase:8369784,1650
Vivarium,jambase:11266676,
Fiserv Forum,jambase:5374823,17500
Riverside Theater,jambase:62305,2450
The Miramar Theatre,jambase:63140,327
Alpine Valley Music Theatre,jambase:62075,37000
Cactus Club,jambase:63029,200
American Family Field,jambase:63657,41900
Sofar Sounds Milwaukee,jambase:9282112,
Uihlein Hall,jambase:574333,2125
Live at 1175,jambase:7474797,
BMO Pavilion,jambase:68301,10000
Miller High Life Theatre,jambase:64583,4086
Shadow Hill Ranch,jambase:364275,
Gathering on the Green,jambase:6145136,
American Family Insurance Amphitheater,jambase:62376,23000
Rave 2,jambase:419575,
The Cooperage,jambase:4230770,
Mad Planet,jambase:63932,
Anodyne Coffee,jambase:71221,200
Weill Center for Performing Arts,jambase:66473,400
Club Garibaldi,jambase:66110,150
1175 Sports Park & Eatery,jambase:6024821,
South Milwaukee Performing Arts Center,jambase:373625,
Marcus Center for Performing Arts,jambase:364198,
Rancho Los Girasoles Events Center,jambase:9949018,
Veteran’s Park on Lakefront,jambase:419544,
Kohler Memorial Theatre,jambase:2687882,
Franklin Field,jambase:11232959,
Niswonger Performing Arts Center,jambase:192784,1150
ETSU Martin Center for the Arts,jambase:8421620,1200
The Mountain Bar and Grill,jambase:10366568,
Birthplace of Country Music Museum,jambase:73647,
Paramount Center for the Arts,jambase:67475,765
Bristol Motor Speedway,jambase:416103,
Elizabethton High School Citizens Bank Stadium,jambase:8930895,
Paper Tiger,jambase:64371,1000
Dodging Duck Brewhaus,jambase:10977587,
Gruene Hall,jambase:63200,800
The Aztec Theatre,jambase:70961,1477
Stable Hall,jambase:11202239,1000
Whitewater Amphitheater,jambase:65979,5600
John T. Floore Country Store,jambase:337718,800
Majestic Theatre,jambase:64542,2264
Vibes Event Center,jambase:2906532,1800
Boeing Center at Tech Port,jambase:10893201,3100
The Rock Box,jambase:2272378,1000
HEB Performance Hall at Tobin Center,jambase:71273,1738
Jo Long Theatre,jambase:376170,650
Tobin Center for the Performing Arts,jambase:71838,1750
Frost Bank Center,jambase:72871,19000
Freeman Coliseum,jambase:64225,11700
Charlie McCombs Empire Theatre,jambase:73715,856
Alamodome,jambase:62375,70000
The Espee,jambase:331076,3175
The Redbird Listening Room,jambase:8286879,60
Little Carver Theatre,jambase:390573,150
Brauntex Performing Arts Theatre,jambase:66142,584
502 Bar,jambase:70499,
Illusions Theatre @ The Alamodome,jambase:67978,
Arneson River Theater,jambase:389733,
Four Sisters Ranch,jambase:69050,
Riley’s Tavern,jambase:64002,65
J.B. Wells Arena,jambase:572235,
San Antonio Stock Show & Rodeo,jambase:416981,
Quiet Valley Ranch,jambase:360180,2000
Wave,jambase:4646285,500
Stiefel Theatre,jambase:64186,1265
TempleLive Wichita,jambase:5887138,450
Cotillion Ballroom,jambase:67307,2000
Orpheum Theater,jambase:63402,1700
United Wireless Arena,jambase:68740,5300
INTRUST Bank Arena,jambase:71642,15750
Kansas Star Event Center,jambase:2001925,1600
Hartman Arena,jambase:192819,5000
Tony’s Pizza Events Center,jambase:5844676,
Fox Theatre,jambase:10351038,
Fox Theatre [Hutchinson],jambase:343054,
Crown Uptown Theatre,jambase:393245,
Kansas State Fairgrounds,jambase:65471,400
Century II Convention Center,jambase:404337,
Fox Pavilion,jambase:3294314,1000
Lake Afton Park,jambase:9639187,
The Red Shed,jambase:7384077,
Winfield Fairgrounds,jambase:569816,
Onyx Event Center,jambase:10535314,
Danenberger Family Vineyards,jambase:6241182,
Effingham Performance Center,jambase:68227,1523
The Cadillac,jambase:10683715,800
Canopy Club,jambase:62354,750
Sangamon Auditorium,jambase:62873,2005
Virginia Theatre,jambase:63397,1463
The City Center,jambase:4670720,
Morgan County Fair Grandstand,jambase:5693858,
Curve Inn,jambase:4793958,
State Farm Center,jambase:343241,15500
Boondocks,jambase:70204,900
Krannert Center for the Performing Arts,jambase:68436,4000
Rose Bowl Tavern,jambase:327423,280
Long Bridge Golf Course,jambase:8511244,
Route 66 Motorheads Bar,jambase:8393195,
Foellinger Auditorium,jambase:569465,
Third Base,jambase:395201,
"Lock, Stock, and Barrel",jambase:334211,
Larson’s Landing,jambase:3117187,
Lincoln Square Theatre,jambase:2631342,1225
Decatur Indoor Sports Center,jambase:11310470,
UIS Performing Arts Center,jambase:10438968,
Walmart AMP,jambase:69913,9500
JJ’s Live,jambase:4236430,2500
Temple Live,jambase:3447355,1200
George’s Majestic,jambase:62264,700
The Momentary,jambase:6280172,4000
Mulberry Mountain,jambase:65418,2000
Choctaw Pocola Casino,jambase:68866,
ArcBest Corporation Performing Arts Center,jambase:2380708,1
Meteor Guitar Gallery,jambase:573533,299
Choctaw Casino & Resort Pocola CenterStage,jambase:2596878,
Crystal Bridges Museum of American Art,jambase:5908234,
Fort Smith Convention Center,jambase:361697,
Victory Theater,jambase:11242673,
Bill George Arena,jambase:11206150,
DECC Auditorium,jambase:73408,6600
Bayfront Festival Park,jambase:65664,15000
Amsoil Arena,jambase:385526,8500
Black Bear Casino Resort,jambase:67514,
Big Top Chautauqua,jambase:62620,900
Myles Reif Performing Arts Center,jambase:363574,700
Duluth Entertainment and Convention Center (DECC),jambase:407217,
Sacred Heart Music Center,jambase:346970,400
The West Theatre,jambase:9882663,
Rapids Brewing Company,jambase:11408280,
Casbah,jambase:62358,200
Belly Up Solana Beach,jambase:62140,400
Voodoo Room at House of Blues,jambase:67682,1000
Soda Bar,jambase:66569,230
The Observatory North Park,jambase:65574,1100
House of Blues,jambase:69803,1000
Brick by Brick,jambase:63558,550
Soma,jambase:64775,2300
Sofar Sounds San Diego,jambase:9610879,
The Sound,jambase:9445389,1900
Magnolia,jambase:397797,1210
The Rady Shell at Jacobs Park,jambase:7592446,10000
Pechanga Arena,jambase:367367,16100
