identifier,maximumAttendeeCapacity
jambase:329651,
jambase:70152,10000
jambase:386854,
jambase:65587,700
jambase:4407379,
jambase:7882698,1000
jambase:338605,2500
jambase:68681,10000
jambase:325573,1479
jambase:63329,1900
jambase:3837904,4000
jambase:6024824,4822
jambase:385357,2500
jambase:70843,
jambase:4553801,
jambase:11338205,
jambase:64293,1500
jambase:71090,1600
jambase:392463,200
jambase:62095,27500
jambase:62534,12638
jambase:72296,1244
jambase:65680,756
jambase:8181808,5000
jambase:63208,2350
jambase:69349,2700
jambase:9768539,5100
jambase:5191425,
jambase:9738896,
jambase:68651,
jambase:66702,
jambase:402546,
jambase:3569325,
jambase:336282,
jambase:11195745,
jambase:10949677,3400
jambase:63022,2250
jambase:389176,
jambase:70831,
jambase:64284,1250
jambase:63445,1800
jambase:69749,100
jambase:3277493,
jambase:63107,2078
jambase:62193,
jambase:387207,10000
jambase:62504,
jambase:357880,
jambase:71316,
jambase:64080,5400
jambase:384960,1
jambase:65896,
jambase:71512,
jambase:376316,
jambase:9566853,
jambase:7671893,
jambase:63187,11500
jambase:1554518,1500
jambase:65874,1350
jambase:68788,1500
jambase:7995715,
jambase:11455850,
jambase:68592,
jambase:574742,
jambase:62499,2300
jambase:62905,350
jambase:63006,340
jambase:7509533,3000
jambase:62401,20000
jambase:9962674,225
jambase:6255177,1000
jambase:5218867,3100
jambase:6362733,4500
jambase:66395,10600
jambase:5030522,19260
jambase:66409,712
jambase:73008,5000
jambase:2543595,750
jambase:69093,450
jambase:9143026,1300
jambase:8940677,140
jambase:66747,1500
jambase:72570,
jambase:63413,10467
jambase:373456,44494
jambase:2637938,1300
jambase:5433574,
jambase:9101662,600
jambase:63344,4500
jambase:71196,500
jambase:70903,4000
jambase:3843299,67000
jambase:68623,
jambase:68154,
jambase:3121843,
jambase:3342156,
jambase:7640475,
jambase:7930445,
jambase:11235026,
jambase:7768014,1500
jambase:69433,
jambase:66370,
jambase:68589,1600
jambase:67850,
jambase:9992871,
jambase:9872771,
jambase:8523333,525
jambase:71614,
jambase:3229315,
jambase:11302845,
jambase:72788,500
jambase:70920,1300
jambase:74089,2000
jambase:72348,19000
jambase:573541,735
jambase:62139,250
jambase:62087,600
jambase:62807,450
jambase:64235,2800
jambase:62667,10500
jambase:62550,2500
jambase:2058749,750
jambase:72401,7470
jambase:396505,1300
jambase:192618,
jambase:345001,
jambase:70582,1133
jambase:674675,
jambase:9709710,
jambase:5947149,
jambase:7003431,
jambase:4303953,
jambase:574272,
jambase:375019,
jambase:327291,
jambase:64967,8751
jambase:62973,1500
jambase:398151,
jambase:11160530,550
jambase:10239002,3000
jambase:7640444,4000
jambase:3042091,
jambase:8926326,
jambase:7917434,
jambase:7536741,
jambase:11187035,
jambase:62106,1279
jambase:73240,3500
jambase:62222,300
jambase:66046,987
jambase:5619908,200
jambase:8369784,1650
jambase:11266676,
jambase:5374823,17500
jambase:62305,2450
jambase:63140,327
